#Area	Non-overlapping_group
ampl1083_ITPKB_CDS_1_Cds_16694468_UserDefined_(53190421)_UserDefined_(53391461)	grp0
ampl1085_ITPKB_CDS_1_Cds_16694468_UserDefined_(53190421)_UserDefined_(53391461)	grp0
ampl17_BIRC3_6_Exon_16737498_UserDefined_(52679743)_UserDefined_(53391463)	grp0
ampl19_BIRC3_6_Exon_16737498_UserDefined_(52679743)_UserDefined_(53391463)	grp0
ampl20_BIRC3_7_Exon_16739198_UserDefined_(52736130)_UserDefined_(53391464)	grp0
ampl22_BIRC3_7_Exon_16739198_UserDefined_(52736130)_UserDefined_(53391464)	grp0
ampl23_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl25_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl27_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl28_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl30_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl32_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl34_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl36_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl38_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl40_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl42_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl44_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl46_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl48_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl50_BIRC3_8_+_BIRC3_9_UserDefined_(53190324)_UserDefined_(53391465)	grp0
ampl389_KMT2A_CDS_1_Cds_16743186_UserDefined_(53190422)_UserDefined_(53391466)	grp0
ampl390_KMT2A_CDS_1_Cds_16743186_UserDefined_(53190422)_UserDefined_(53391466)	grp0
ampl392_KMT2A_CDS_1_Cds_16743186_UserDefined_(53190422)_UserDefined_(53391466)	grp0
ampl413_KMT2A_CDS_2_Cds_16741866_UserDefined_(53190433)_UserDefined_(53391467)	grp0
ampl479_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl481_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl483_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl485_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl487_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl489_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl491_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl493_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl495_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl497_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl499_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl501_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl503_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl505_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl507_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl509_KMT2A_CDS_3_Cds_16743743_UserDefined_(53190444)_UserDefined_(47591212)	grp0
ampl525_KMT2A_CDS_4_Cds_16744612_UserDefined_(53190451)_UserDefined_(53391468)	grp0
ampl527_KMT2A_CDS_5_Cds_16741078_UserDefined_(53190452)_UserDefined_(53391469)	grp0
ampl529_KMT2A_CDS_5_Cds_16741078_UserDefined_(53190452)_UserDefined_(53391469)	grp0
ampl530_KMT2A_CDS_6_Cds_16743279_UserDefined_(53190453)_UserDefined_(53391470)	grp0
ampl1087_KMT2A_CDS_7_Cds_16743792_UserDefined_(53190454)_UserDefined_(53391471)	grp0
ampl1089_KMT2A_CDS_7_Cds_16743792_UserDefined_(53190454)_UserDefined_(53391471)	grp0
ampl531_KMT2A_CDS_8_Cds_16744805_UserDefined_(53190455)_UserDefined_(53391472)	grp0
ampl532_KMT2A_CDS_9_Cds_16741074_UserDefined_(53190456)_UserDefined_(53391473)	grp0
ampl393_KMT2A_CDS_10_Cds_16745218_UserDefined_(53190423)_UserDefined_(53391474)	grp0
ampl395_KMT2A_CDS_11_Cds_16745167_UserDefined_(53190424)_UserDefined_(47591214)	grp0
ampl397_KMT2A_CDS_12_Cds_16741624_UserDefined_(53190425)_UserDefined_(53391475)	grp0
ampl399_KMT2A_CDS_13_Cds_16744578_UserDefined_(53190426)_UserDefined_(53391476)	grp0
ampl401_KMT2A_CDS_14_+_KMT2A_CDS_14_UserDefined_(53190427)_UserDefined_(53391477)	grp0
ampl403_KMT2A_CDS_15_Cds_16741455_UserDefined_(53190428)_UserDefined_(53391478)	grp0
ampl405_KMT2A_CDS_16_Cds_16743704_UserDefined_(53190429)_UserDefined_(53391479)	grp0
ampl407_KMT2A_CDS_17_Cds_16741594_UserDefined_(53190430)_UserDefined_(53391480)	grp0
ampl409_KMT2A_CDS_18_Cds_16740612_UserDefined_(53190431)_UserDefined_(53391481)	grp0
ampl411_KMT2A_CDS_19_Cds_16744760_UserDefined_(53190432)_UserDefined_(53391482)	grp0
ampl414_KMT2A_CDS_20_Cds_16744503_UserDefined_(53190434)_UserDefined_(53391483)	grp0
ampl415_KMT2A_CDS_21_Cds_16744978_UserDefined_(53190435)_UserDefined_(53391484)	grp0
ampl417_KMT2A_CDS_22_Cds_16742694_UserDefined_(53190436)_UserDefined_(53391485)	grp0
ampl419_KMT2A_CDS_23_Cds_16741077_UserDefined_(53190437)_UserDefined_(53391486)	grp0
ampl421_KMT2A_CDS_24_Cds_16740890_UserDefined_(53190438)_UserDefined_(53391487)	grp0
ampl422_KMT2A_CDS_25_Cds_16742833_UserDefined_(53190439)_UserDefined_(53391488)	grp0
ampl424_KMT2A_CDS_26_Cds_16743385_UserDefined_(53190440)_UserDefined_(53391489)	grp0
ampl426_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl428_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl430_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl432_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl434_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl436_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl438_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
