#Area	Non-overlapping_group
ampl141_PIK3CA.21_UserDefined_(36253438)	grp1
ampl142_PIK3CA.21_UserDefined_(36253438)	grp1
ampl143_PIK3CA.21_UserDefined_(36253438)	grp1
ampl40_FGFR3_7_UserDefined_(36057159)	grp1
ampl43_FGFR3_9_UserDefined_(33127381)	grp1
ampl44_FGFR3_9_UserDefined_(33127381)	grp1
ampl38_FGFR3_14_UserDefined_(36057158)	grp1
ampl97_PDGFRA_12_UserDefined_(33090002)	grp1
ampl99_PDGFRA_14_UserDefined_(36057176)	grp1
ampl101_PDGFRA_18_UserDefined_(33090008)	grp1
ampl67_KIT_8_UserDefined_(36057165)	grp1
ampl69_KIT_9_UserDefined_(33089908)	grp1
ampl59_KIT_11_UserDefined_(36057162)	grp1
ampl61_KIT_13_UserDefined_(36057163)	grp1
ampl63_KIT_17_UserDefined_(36057164)	grp1
ampl65_KIT_18_UserDefined_(33089906)	grp1
ampl13_EGFR_18_UserDefined_(33079791)	grp1
ampl15_EGFR_19_UserDefined_(36057150)	grp1
ampl17_EGFR_20_UserDefined_(36057151)	grp1
ampl20_EGFR_21_UserDefined_(36057152)	grp1
ampl116_MET_2_UserDefined_(36057172)	grp1
ampl117_MET_2_UserDefined_(36057172)	grp1
ampl118_MET_2_UserDefined_(36057172)	grp1
ampl119_MET_2_UserDefined_(36057172)	grp1
ampl120_MET_2_UserDefined_(36057172)	grp1
ampl121_MET_2_UserDefined_(36057172)	grp1
ampl122_MET_2_UserDefined_(36057172)	grp1
ampl123_MET_2_UserDefined_(36057172)	grp1
ampl124_MET_2_UserDefined_(36057172)	grp1
ampl125_MET_2_UserDefined_(36057172)	grp1
ampl83_MET_14_UserDefined_(36057168)	grp1
ampl86_MET_15_UserDefined_(36057169)	grp1
ampl87_MET_15_UserDefined_(36057169)	grp1
ampl90_MET_16_UserDefined_(36027463)	grp1
ampl92_MET_17_UserDefined_(36057170)	grp1
ampl95_MET_18_UserDefined_(36057171)	grp1
ampl111_MET_19_UserDefined_(33446117)	grp1
ampl114_MET_20_UserDefined_(36057173)	grp1
ampl11_BRAF_15_UserDefined_(36057149)	grp1
ampl9_BRAF_11_UserDefined_(33445906)	grp1
